suspid	srcid	plagtype	GED	Cos	SD	w1	w2	w3	w1j	w2j	w3j	t1	t2	t3	subseq	pairdist	ordering
suspicious-document00021.txt-1	source-document01693.txt-1	no-obfuscation	0.000000	-0.000000	NaN	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-2	source-document01693.txt-2	no-obfuscation	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-3	source-document01693.txt-3	no-obfuscation	0.000000	-0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-4	source-document01693.txt-4	no-obfuscation	0.000000	0.000000	0.809145	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-5	source-document01693.txt-5	no-obfuscation	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-6	source-document01693.txt-6	no-obfuscation	0.000000	-0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-7	source-document01693.txt-7	no-obfuscation	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-8	source-document01693.txt-8	no-obfuscation	0.000000	0.000000	NaN	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-9	source-document01693.txt-9	no-obfuscation	0.000000	0.000000	0.934550	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00021.txt-105	source-document02200.txt-24	no-obfuscation	0.683333	0.596527	0.432651	0.360000	0.034483	0.000000	0.236842	0.019608	0.000000	0.620915	0.437908	0.320261	0.482490	0.617313	0.598835
suspicious-document00021.txt-106	source-document02200.txt-25	no-obfuscation	0.589655	0.741159	0.392300	0.318182	0.038462	0.000000	0.175000	0.018519	0.000000	0.781690	0.471831	0.359155	0.461017	0.666319	0.663325
suspicious-document00021.txt-107	source-document02200.txt-26	no-obfuscation	0.826190	0.845697	0.135193	0.307692	0.076923	0.000000	0.129032	0.026316	0.000000	0.895522	0.701493	0.462687	0.334928	-0.074413	0.500000
suspicious-document00021.txt-108	source-document02200.txt-27	no-obfuscation	0.656250	0.598522	0.357453	0.315789	0.055556	0.000000	0.230769	0.033333	0.000000	0.645161	0.537634	0.365591	0.525000	0.410992	0.288675
suspicious-document00021.txt-109	source-document02200.txt-28	no-obfuscation	0.653846	0.675557	0.006886	0.500000	0.142857	0.000000	0.173913	0.041667	0.000000	0.942857	0.771429	0.657143	0.453125	0.995998	1.000000
suspicious-document00021.txt-110	source-document02200.txt-29	no-obfuscation	0.810714	0.639156	0.043373	0.166667	0.000000	0.000000	0.130435	0.000000	0.000000	0.296296	0.203704	0.111111	0.335664	0.985136	1.000000
suspicious-document00053.txt-12	source-document00083.txt-30	no-obfuscation	0.515476	0.558229	0.352020	0.363636	0.083333	0.000000	0.258065	0.051282	0.000000	0.626866	0.500000	0.350746	0.421525	0.112059	0.245530
suspicious-document00053.txt-13	source-document00083.txt-31	no-obfuscation	0.434211	0.550000	0.589760	0.470588	0.176471	0.062500	0.275862	0.090909	0.030303	0.719101	0.550562	0.393258	0.550562	0.837516	0.748855
suspicious-document00078.txt-79	source-document00381.txt-5	no-obfuscation	0.000000	0.000000	0.939210	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00078.txt-80	source-document00381.txt-6	no-obfuscation	0.000000	0.000000	0.924433	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00078.txt-81	source-document00381.txt-7	no-obfuscation	0.000000	-0.000000	0.685898	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00078.txt-82	source-document00381.txt-1	no-obfuscation	0.000000	-0.000000	0.682953	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00078.txt-83	source-document00381.txt-2	no-obfuscation	0.000000	0.000000	0.744921	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00078.txt-84	source-document00381.txt-3	no-obfuscation	0.000000	-0.000000	0.745634	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00102.txt-134	source-document02940.txt-2	no-obfuscation	0.000000	-0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00102.txt-135	source-document02940.txt-3	no-obfuscation	0.000000	0.000000	0.897056	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
suspicious-document00102.txt-136	source-document02940.txt-4	no-obfuscation	0.000000	-0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
