suspid	srcid	plagtype	GED	Cos	SD	w1	w2	w3	w1j	w2j	w3j	t1	t2	t3	subseq	pairdist	ordering
suspicious-document00027.txt-29	source-document01362.txt-1	random-obfuscation	0.519231	0.498720	1.000000	0.600000	0.200000	0.111111	0.333333	0.090909	0.047619	0.844828	0.500000	0.465517	0.486111	0.997592	1.000000
suspicious-document00027.txt-30	source-document01362.txt-2	random-obfuscation	0.535294	0.454079	0.812181	0.636364	0.272727	0.200000	0.291667	0.100000	0.068966	0.962264	0.716981	0.528302	0.490323	0.974344	0.905822
suspicious-document00027.txt-31	source-document01362.txt-3	random-obfuscation	0.818182	0.589609	0.487571	0.800000	0.500000	0.333333	0.235294	0.111111	0.058824	1.000000	0.850000	0.650000	0.319328	0.837837	NaN
suspicious-document00027.txt-32	source-document01362.txt-4	random-obfuscation	0.769231	0.435924	NaN	1.000000	0.166667	0.000000	0.368421	0.041667	0.000000	1.000000	0.933333	0.866667	0.432836	0.844129	0.825723
suspicious-document00027.txt-33	source-document01362.txt-5	random-obfuscation	0.684000	0.769060	0.153987	0.120000	0.000000	0.000000	0.076923	0.000000	0.000000	0.589286	0.363095	0.244048	0.414545	0.914781	1.000000
suspicious-document00027.txt-34	source-document01362.txt-6	random-obfuscation	0.977273	0.921433	0.389036	0.111111	0.000000	0.000000	0.050000	0.000000	0.000000	0.791667	0.541667	0.208333	0.387097	0.000000	0.000000
suspicious-document00027.txt-24	source-document02493.txt-21	random-obfuscation	0.668421	0.727525	0.244868	0.294118	0.000000	0.000000	0.178571	0.000000	0.000000	0.917808	0.643836	0.369863	0.433333	0.826617	0.654654
suspicious-document00027.txt-25	source-document02493.txt-22	random-obfuscation	0.371739	0.272312	0.610754	0.666667	0.352941	0.176471	0.370370	0.166667	0.076923	0.920455	0.806818	0.693182	0.617512	0.624867	0.722222
suspicious-document00027.txt-26	source-document02493.txt-23	random-obfuscation	0.720370	0.677671	0.332929	0.375000	0.000000	0.000000	0.150000	0.000000	0.000000	0.892157	0.725490	0.392157	0.430108	0.934763	0.763763
suspicious-document00027.txt-35	source-document02493.txt-1	random-obfuscation	0.350000	0.387237	0.519767	0.666667	0.352941	0.312500	0.444444	0.181818	0.156250	0.941860	0.744186	0.627907	0.619718	0.979904	0.903130
suspicious-document00027.txt-36	source-document02493.txt-2	random-obfuscation	0.330357	0.273278	0.717449	0.809524	0.608696	0.500000	0.515152	0.350000	0.268293	0.962121	0.878788	0.818182	0.765677	0.978393	1.000000
suspicious-document00027.txt-37	source-document02493.txt-3	random-obfuscation	0.455882	0.127128	0.223090	0.714286	0.470588	0.312500	0.588235	0.320000	0.192308	0.851351	0.770270	0.716216	0.755245	0.923324	0.910000
suspicious-document00027.txt-38	source-document02493.txt-4	random-obfuscation	0.500000	0.375000	0.472011	0.750000	0.571429	0.500000	0.600000	0.400000	0.333333	0.885714	0.800000	0.742857	0.783784	1.000000	1.000000
suspicious-document00027.txt-39	source-document02493.txt-5	random-obfuscation	0.318000	0.206116	0.733442	0.705882	0.550000	0.400000	0.444444	0.314286	0.210526	0.969072	0.793814	0.731959	0.694064	0.992509	1.000000
suspicious-document00027.txt-40	source-document02493.txt-6	random-obfuscation	0.177778	0.202276	0.947503	1.000000	0.666667	0.600000	0.636364	0.333333	0.272727	1.000000	0.972973	0.918919	0.787234	0.354983	0.509525
