suspid	srcid	plagtype	GED	Cos	SD	w1	w2	w3	w1j	w2j	w3j	t1	t2	t3	subseq	pairdist	ordering
suspicious-document00019.txt-203	source-document01100.txt-1	translation-obfuscation	0.252564	0.194826	0.723400	0.700000	0.459459	0.368421	0.525000	0.298246	0.229508	0.941176	0.877451	0.848039	0.811456	0.979532	0.933715
suspicious-document00019.txt-204	source-document01100.txt-2	translation-obfuscation	0.526829	0.196884	0.676667	0.564103	0.280000	0.176471	0.536585	0.222222	0.132353	0.544025	0.525157	0.518868	0.582485	0.767121	0.811917
suspicious-document00019.txt-335	source-document01100.txt-4	translation-obfuscation	0.501923	0.667860	0.436897	0.239130	0.000000	0.000000	0.171875	0.000000	0.000000	0.613569	0.412979	0.253687	0.412811	0.227952	0.166667
suspicious-document00019.txt-336	source-document01100.txt-5	translation-obfuscation	0.466279	0.587464	0.512959	0.333333	0.000000	0.000000	0.181818	0.000000	0.000000	0.911504	0.575221	0.371681	0.392713	0.135147	-0.184211
suspicious-document00035.txt-100	source-document01534.txt-51	translation-obfuscation	0.500000	0.467819	0.166052	0.846154	0.333333	0.181818	0.523810	0.148148	0.074074	0.937500	0.875000	0.843750	0.615385	0.971970	0.891534
suspicious-document00035.txt-101	source-document01534.txt-52	translation-obfuscation	1.053846	0.923751	0.000000	0.250000	0.000000	0.000000	0.050000	0.000000	0.000000	0.909091	0.636364	0.272727	0.142857	0.000000	0.000000
suspicious-document00035.txt-102	source-document01534.txt-53	translation-obfuscation	0.623529	0.644357	0.254635	0.250000	0.000000	0.000000	0.107143	0.000000	0.000000	0.750000	0.486111	0.375000	0.475000	0.995983	NaN
suspicious-document00035.txt-22	source-document01954.txt-9	translation-obfuscation	0.386719	0.355783	0.804875	0.600000	0.225806	0.093750	0.405405	0.129630	0.051724	0.862434	0.693122	0.566138	0.622951	0.835012	0.833904
suspicious-document00035.txt-23	source-document01954.txt-10	translation-obfuscation	0.247727	0.237999	0.955762	0.882353	0.700000	0.578947	0.652174	0.482759	0.366667	0.938931	0.908397	0.893130	0.857143	0.971648	0.903217
suspicious-document00035.txt-24	source-document01954.txt-11	translation-obfuscation	0.306818	0.412104	0.767561	0.750000	0.285714	0.095238	0.576923	0.171429	0.052632	0.843750	0.773438	0.742188	0.590164	0.935598	0.842878
suspicious-document00035.txt-105	source-document03041.txt-2	translation-obfuscation	0.243750	0.153220	0.817832	0.909091	0.409091	0.190476	0.769231	0.243243	0.100000	0.912752	0.865772	0.865772	0.800000	0.991198	0.976058
suspicious-document00035.txt-106	source-document03041.txt-3	translation-obfuscation	0.215278	0.188840	0.923184	0.740741	0.441176	0.285714	0.606061	0.288462	0.172414	0.896396	0.833333	0.815315	0.747100	0.844395	0.614448
suspicious-document00059.txt-77	source-document01044.txt-4	translation-obfuscation	0.536486	0.380748	0.528620	0.730769	0.074074	0.000000	0.463415	0.029412	0.000000	0.950617	0.783951	0.709877	0.488432	-0.114419	-0.084296
suspicious-document00059.txt-78	source-document01044.txt-5	translation-obfuscation	0.385204	0.364988	0.542402	0.441860	0.207547	0.094340	0.333333	0.130952	0.056180	0.787781	0.694534	0.598071	0.533333	0.723708	0.650734
suspicious-document00062.txt-162	source-document01286.txt-19	translation-obfuscation	0.781250	0.902410	0.156106	0.166667	0.000000	0.000000	0.076923	0.000000	0.000000	0.814286	0.485714	0.257143	0.312849	0.000000	0.000000
suspicious-document00062.txt-163	source-document01286.txt-20	translation-obfuscation	0.729167	0.485208	0.322146	0.583333	0.076923	0.000000	0.194444	0.022222	0.000000	0.986667	0.840000	0.733333	0.434109	0.863234	0.718182
