suspid	srcid	plagtype	GED	Cos	SD	w1	w2	w3	w1j	w2j	w3j	t1	t2	t3	subseq	pairdist	ordering
suspicious-document00004.txt-18	source-document00420.txt-30	translation-obfuscation	0.369048	0.314397	0.820956	0.600000	0.304348	0.136364	0.521739	0.212121	0.085714	0.688679	0.575472	0.518868	0.597826	0.894155	0.848039
suspicious-document00004.txt-19	source-document00420.txt-31	translation-obfuscation	0.339286	0.378941	0.736486	0.600000	0.214286	0.000000	0.450000	0.125000	0.000000	0.792683	0.609756	0.536585	0.640523	0.984010	0.893487
suspicious-document00004.txt-20	source-document00420.txt-32	translation-obfuscation	0.488636	0.492167	0.517315	0.470588	0.058824	0.000000	0.266667	0.024390	0.000000	0.836735	0.622449	0.479592	0.474138	0.303419	0.251259
suspicious-document00004.txt-21	source-document00420.txt-33	translation-obfuscation	0.308333	0.297740	0.826725	0.709677	0.351351	0.162162	0.594595	0.232143	0.095238	0.884817	0.743455	0.649215	0.602151	0.840585	0.723749
suspicious-document00004.txt-22	source-document00420.txt-34	translation-obfuscation	0.375000	0.244071	0.902470	0.785714	0.538462	0.333333	0.647059	0.333333	0.181818	0.957746	0.830986	0.802817	0.477419	-0.050192	0.006901
suspicious-document00004.txt-23	source-document00420.txt-35	translation-obfuscation	0.208333	0.148153	0.630275	0.750000	0.434783	0.227273	0.600000	0.277778	0.125000	0.931034	0.844828	0.844828	0.750000	0.733743	0.733074
suspicious-document00011.txt-136	source-document00663.txt-9	translation-obfuscation	0.384868	0.323289	0.721927	0.642857	0.147059	0.029412	0.439024	0.072464	0.013889	0.971154	0.875000	0.817308	0.573951	0.520629	0.377574
suspicious-document00011.txt-137	source-document00663.txt-10	translation-obfuscation	0.510833	0.428571	0.533965	0.440000	0.200000	0.137931	0.261905	0.113208	0.075472	0.862500	0.687500	0.562500	0.464396	0.827102	0.927249
suspicious-document00011.txt-138	source-document00663.txt-11	translation-obfuscation	0.833333	0.607768	0.649140	0.600000	0.200000	0.000000	0.200000	0.062500	0.000000	0.933333	0.566667	0.500000	0.320000	0.963123	0.500000
suspicious-document00011.txt-139	source-document00663.txt-12	translation-obfuscation	0.694444	0.580686	0.816133	0.428571	0.000000	0.000000	0.214286	0.000000	0.000000	0.885714	0.714286	0.657143	0.479167	-0.033942	NaN
suspicious-document00011.txt-140	source-document00663.txt-13	translation-obfuscation	0.364000	0.687228	0.503109	0.391304	0.000000	0.000000	0.230769	0.000000	0.000000	0.883871	0.658065	0.567742	0.440252	-0.055188	-0.333333
suspicious-document00011.txt-141	source-document00663.txt-14	translation-obfuscation	0.584000	0.575736	0.491948	0.304348	0.103448	0.071429	0.200000	0.065217	0.044444	0.633987	0.483660	0.392157	0.459144	0.668284	0.241209
suspicious-document00011.txt-112	source-document00858.txt-4	translation-obfuscation	0.720536	0.729235	0.546427	0.250000	0.000000	0.000000	0.111111	0.000000	0.000000	0.937500	0.678571	0.482143	0.436620	0.238064	0.272166
suspicious-document00011.txt-113	source-document00858.txt-5	translation-obfuscation	0.605263	0.682474	0.402914	0.333333	0.000000	0.000000	0.161290	0.000000	0.000000	0.853659	0.536585	0.341463	0.423280	0.332988	0.612372
suspicious-document00011.txt-114	source-document00858.txt-6	translation-obfuscation	0.737500	0.923304	0.463934	0.100000	0.000000	0.000000	0.043478	0.000000	0.000000	0.963636	0.563636	0.200000	0.402685	0.000000	0.000000
suspicious-document00011.txt-115	source-document00858.txt-7	translation-obfuscation	0.541250	0.679744	0.606407	0.181818	0.000000	0.000000	0.129032	0.000000	0.000000	0.495935	0.325203	0.211382	0.468085	0.896164	0.707107
suspicious-document00011.txt-116	source-document00858.txt-8	translation-obfuscation	0.679545	0.710586	0.725241	0.307692	0.000000	0.000000	0.114286	0.000000	0.000000	0.946667	0.600000	0.306667	0.401826	0.928526	0.500000
suspicious-document00011.txt-23	source-document01375.txt-28	translation-obfuscation	0.320000	0.217101	0.820137	0.620690	0.294118	0.212121	0.473684	0.172414	0.116667	0.954802	0.858757	0.824859	0.751351	0.973427	0.887334
suspicious-document00011.txt-24	source-document01375.txt-29	translation-obfuscation	0.258333	0.290323	0.787791	0.640000	0.423077	0.280000	0.470588	0.268293	0.162791	0.862069	0.710345	0.613793	0.723404	0.992520	1.000000
suspicious-document00011.txt-25	source-document01375.txt-30	translation-obfuscation	0.218919	0.156051	0.645812	0.733333	0.485714	0.352941	0.578947	0.303571	0.203390	0.953757	0.861272	0.815029	0.789041	0.958561	0.913555
suspicious-document00011.txt-26	source-document01375.txt-31	translation-obfuscation	0.248684	0.267740	0.472893	0.846154	0.382353	0.242424	0.564103	0.213115	0.125000	0.940541	0.837838	0.783784	0.700980	0.951865	0.852981
suspicious-document00011.txt-33	source-document01770.txt-40	translation-obfuscation	0.685417	0.671605	0.527701	0.200000	0.000000	0.000000	0.105263	0.000000	0.000000	0.872549	0.656863	0.343137	0.438819	0.999019	1.000000
suspicious-document00011.txt-34	source-document01770.txt-41	translation-obfuscation	0.580000	0.678818	0.433838	0.263158	0.000000	0.000000	0.151515	0.000000	0.000000	0.841121	0.551402	0.233645	0.422018	0.917937	0.816497
suspicious-document00011.txt-35	source-document01770.txt-42	translation-obfuscation	0.532692	0.604715	0.573331	0.333333	0.000000	0.000000	0.166667	0.000000	0.000000	0.858407	0.495575	0.336283	0.401639	0.878331	0.577350
suspicious-document00011.txt-36	source-document01770.txt-43	translation-obfuscation	0.509615	0.597089	0.272271	0.375000	0.000000	0.000000	0.264706	0.000000	0.000000	0.666667	0.468254	0.309524	0.394850	0.773090	0.520483
suspicious-document00011.txt-37	source-document01770.txt-44	translation-obfuscation	0.574000	0.720054	0.375970	0.227273	0.000000	0.000000	0.135135	0.000000	0.000000	0.754545	0.509091	0.327273	0.400000	0.592261	0.200000
suspicious-document00011.txt-38	source-document01770.txt-45	translation-obfuscation	0.622727	0.752358	0.092443	0.214286	0.000000	0.000000	0.088235	0.000000	0.000000	0.888889	0.622222	0.266667	0.368852	0.998656	1.000000
suspicious-document00011.txt-40	source-document01862.txt-116	translation-obfuscation	0.163636	0.189837	0.767594	0.818182	0.428571	0.300000	0.692308	0.264706	0.171429	0.982143	0.901786	0.901786	0.632479	0.584647	0.517879
suspicious-document00011.txt-41	source-document01862.txt-117	translation-obfuscation	0.428846	0.228483	0.937948	0.714286	0.307692	0.083333	0.625000	0.200000	0.047619	0.913043	0.855072	0.826087	0.561151	0.605120	0.517857
suspicious-document00011.txt-42	source-document01862.txt-118	translation-obfuscation	0.319149	0.172671	0.862668	0.888889	0.465116	0.214286	0.695652	0.277778	0.111111	0.969163	0.903084	0.867841	0.632017	0.716908	0.603729
suspicious-document00011.txt-43	source-document01862.txt-119	translation-obfuscation	0.246512	0.155347	0.814971	0.875000	0.350000	0.170732	0.700000	0.205882	0.092105	0.976303	0.909953	0.872038	0.660714	0.889963	0.765186
suspicious-document00011.txt-44	source-document01862.txt-120	translation-obfuscation	0.361250	0.255613	0.611437	0.789474	0.210526	0.111111	0.600000	0.114286	0.057143	0.931373	0.882353	0.803922	0.601942	0.626950	0.557407
suspicious-document00011.txt-45	source-document01862.txt-121	translation-obfuscation	0.307813	0.133869	0.738941	0.862069	0.333333	0.137931	0.735294	0.192308	0.071429	0.955696	0.905063	0.854430	0.679128	0.877189	0.741518
suspicious-document00011.txt-201	source-document02342.txt-13	translation-obfuscation	0.444118	0.386252	0.620113	0.730769	0.088235	0.000000	0.575758	0.049180	0.000000	0.892405	0.791139	0.689873	0.528302	0.138560	0.026497
suspicious-document00011.txt-202	source-document02342.txt-14	translation-obfuscation	0.510000	0.475696	0.734415	0.608696	0.181818	0.047619	0.411765	0.090909	0.022222	0.919355	0.750000	0.653226	0.479401	0.535583	0.467317
suspicious-document00011.txt-203	source-document02342.txt-15	translation-obfuscation	0.000000	0.250000	NaN	0.750000	0.333333	0.000000	0.600000	0.200000	0.000000	1.000000	1.000000	1.000000	0.960000	1.000000	NaN
suspicious-document00011.txt-204	source-document02342.txt-16	translation-obfuscation	0.173333	0.146087	0.829099	0.888889	0.645161	0.533333	0.827586	0.512821	0.390244	0.921212	0.890909	0.878788	0.803738	0.802548	0.683238
suspicious-document00011.txt-205	source-document02342.txt-17	translation-obfuscation	0.291667	0.242967	0.880309	0.640000	0.222222	0.038462	0.500000	0.130435	0.020408	0.913386	0.811024	0.700787	0.624506	0.821910	0.699722
suspicious-document00011.txt-142	source-document02653.txt-8	translation-obfuscation	0.337719	0.267935	0.607362	0.609756	0.306122	0.187500	0.403226	0.157895	0.089109	0.943262	0.804965	0.698582	0.644951	0.979269	0.926075
suspicious-document00011.txt-143	source-document02653.txt-9	translation-obfuscation	0.355128	0.233188	0.747601	0.758621	0.285714	0.117647	0.536585	0.151515	0.057143	0.970732	0.829268	0.780488	0.675615	0.969474	0.909032
suspicious-document00011.txt-144	source-document02653.txt-10	translation-obfuscation	0.319298	0.245430	0.662116	0.615385	0.220000	0.122449	0.387097	0.107843	0.057143	0.969925	0.849624	0.706767	0.657763	0.949039	0.886529
