abbrev acomp advcl advmod agent amod apos attr aux auxpass cc ccomp complm conj cop csubj dep det dobj expl infmod iobj mark mwe neg nn npadvmod nsubj nubjpass num number parataxis partmod pcomp pobj poss preconj predet prep prepc prt punct purpcl ntmod rcmod ref root tmod xcomp xsubj dep aux arg comp obj subj mod 
abbrev 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  
acomp 1 0 0.5 0.25 0.75 0.75 0 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.5 0.75 1 0.75 0.75 0.5 0.5 0.75 0.5 0.25 0.75 0.75 0.75 0.5 1 0.75 0.75 0.75 0.5 0.75 0.25 0.75 0.5 1 1 1 1 1 0.75 0.75 0.75 0.75 1 1 1 1 1 1 1 
advcl 1 0.5 0 0.75 0.5 0.5 0.75 1 0.75 0.75 0.75 0.5 1 0.75 0.75 0.5 0 0.25 0.75 0.75 1 0.5 0.5 0.75 0.75 0.75 0.5 0.75 0.25 0.75 0.75 0.5 1 0.5 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.5 1 1 1 1 1 1 1 1 
advmod 1 0.25 0.75 0 0.5 0.25 0.5 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0.75 0.75 0.75 0.75 0.5 0.5 0.75 0.75 1 1 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.5 1 1 1 1 0.75 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
agent 1 0.75 0.5 0.5 0 0.25 0.5 1 0.75 0.75 0.75 0.5 1 0.75 0.75 0.5 0 0.25 0.5 0.25 1 0.5 0.75 0.75 0.75 0.75 0.75 0.5 0.5 0.75 0.75 0.25 1 0.75 0.75 0.75 0.75 0.5 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.5 1 1 1 1 1 1 1
amod 1 0.75 0.5 0.25 0.25 1 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0.75 0.75 0.5 0.75 0.5 0.5 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
apos 1 0 0.75 0.5 0.5 0.75 0 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0.75 0.75 0.75 0.75 0.5 0.75 0.75 0.75 1 1 0.25 1 0.75 0.75 0.75 0.5 0.5 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
attr 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
aux 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.5 1 1 1 1 0.75 1 0.75 0.5 0.75 1 1 1 1 1 1 1
auxpass 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0 0.75 0.75 1 0.75 0.5 0.75 0 0.25 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.5 1 1 1 1 0.75 1 0.75 0.5 0.75 1 1 1 1 1 1 1
cc 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0 0.75 1 0.5 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.5 0.5 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.5 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
ccomp 1 0.75 0.5 0.75 0.5 0.75 0.75 1 0.75 0.75 0.75 0 1 0.5 0.5 0.25 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.5 1 0.75 0.75 0.75 0.75 0.75 0.75 0.5 0.75 1 1 1 1 0.5 1 0.75 0.75 0.75 1 1 1 1 1 1 1
complm 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
conj 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.5 0.5 0.75 1 0 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.5 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
cop 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.5 0.75 1 0.75 0 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
csubj 1 0.75 0.5 0.75 0.5 0.75 0.75 1 0.75 0.75 0.75 0.25 1 0.75 0.25 0 0.25 0.75 0.25 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
dep 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
det 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
dobj 1 0.5 0.75 0.75 0.5 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0 0.75 1 0.75 0.75 0.75 0.5 0.5 0.5 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
expl 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
infmod 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
iobj 1 0.75 0.5 0.75 0.5 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0 0.75 0.75 0.75 0.75 0.75 0.25 0.75 0.75 0.75 0.75 1 0.75 0.5 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
mark 1 0.75 0.5 0.75 0.75 0.75 0.75 1 0.75 0.75 0.5 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0.75 0 0.75 0.75 0.75 0.75 0.75 0.5 0.75 0.75 0.5 1 0.75 0.75 0.75 0.75 0.75 0.75 0.25 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
mwe 1 0.5 0.75 0.75 0.75 0.5 0.75 1 0.75 0.75 0.5 0.5 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0.75 0.75 0 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.5 1 0.75 0.75 0.75 0.5 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
neg 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
nn 1 0.75 0.75 0.5 0.75 0.5 0.5 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.25 0.5 0.75 1 0.75 0.75 0.75 0.75 0 0.5 0.75 0.75 0.75 0.5 0.75 1 0.75 0.75 0.75 0.5 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
npadvmod 1 0.5 0.5 0.5 0.75 0.5 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.5 0.75 1 0.75 0.75 0.75 0.75 0.5 0 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.5 1 0.25 0.75 0.75 1 1 1 1 1 1 1
nsubj 1 0.25 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.25 0.75 0.75 0.75 0.75 0.75 0 0.25 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
nsubjpass 1 0.75 0.25 0.75 0.5 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.5 0.75 0.75 0.75 0.75 0.25 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
num 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0 0 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
number 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0 0 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
parataxis 1 0.5 0.5 1 0.75 1 1 1 0.75 0.75 0.75 0.5 1 0.75 1 1 0 0.75 0.75 1 1 0.75 0.5 0.5 0.75 0.5 0.75 0.75 0.75 0.75 0.75 0 1 0.75 0.75 0.75 0.75 0.75 0.75 0.5 0.75 1 1 1 1 0.75 1 0.75 0.5 0.75 1 1 1 1 1 1 1 
partmod 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
pcomp 1 0.75 0.5 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.5 0.75 0.5 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0 0.75 0.75 0.75 0.75 0.5 0.5 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
pobj 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0 0.75 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1  
poss 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0 0.75 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1  
preconj 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
predet 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
prep 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
prepc 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
prt 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
punct 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
purpcl 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
quantmod 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 
rcmod 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1  
ref 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1 
root 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 
tmod 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.25 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0 1 1 1 1 0.75 1 0 0.75 0.75 1 1 1 1 1 1 1 
xcomp 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
xsubj 1 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 1 0.75 0.75 0.75 0.75 0 0.75 0.75 0.75 1 1 1 1 0.75 1 0.75 0.75 0.75 1 1 1 1 1 1 1
dep 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 
aux 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 
arg 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 
